Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 87-79-6, SORBOSE,
 977038-88-2," SOYA BEAN OIL FATTY ACIDS, HYDROXYLATED"," EMULSIFIER OR EMULSIFIER SALT,<br /> SOLVENT OR VEHICLE,<br /> TEXTURIZER"
 61791-24-0," SOYA FATTY ACID AMINE, ETHOXYLATED",
 8013-07-8," SOYBEAN OIL, EPOXIDIZED"," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT,<br /> STABILIZER OR THICKENER"
 977187-36-2," SOY PROTEIN CONCENTRATE, ENZYME ACTIVATED"," NUTRIENT SUPPLEMENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 84696-51-5," SPEARMINT, EXTRACT (MENTHA SPICATA L.)", FLAVORING AGENT OR ADJUVANT
 977002-61-1, SPEARMINT (MENTHA SPICATA L.), FLAVORING AGENT OR ADJUVANT
 8008-79-5," SPEARMINT, OIL (MENTHA SPICATA L.)", FLAVORING AGENT OR ADJUVANT
 8002-24-2, SPERM OIL, SURFACE-FINISHING AGENT
 8016-73-7," SPERM OIL, HYDROGENATED",
 977071-52-5, SPIKENARD EXTRACT, FLAVORING AGENT OR ADJUVANT
 38325-25-6," SPIRO(2,4-DITHIA-1-METHYL-8-OXABICYCLO(3.3.0)OCTANE-3,3'-(1'-OXA-2'-METHYL)CYCLOPENTANE)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977091-09-0, spirulina extract, COLOR OR COLORING ADJUNCT
 977062-73-9," SPRUCE NEEDLES AND TWIGS, EXTRACT (PICEA SPP.)", FLAVORING AGENT OR ADJUVANT
 8008-80-8," SPRUCE NEEDLES AND TWIGS, OIL (PICEA SPP.)", FLAVORING AGENT OR ADJUVANT
 1119711-29-3," (2S,5R)-N-[4-(2-AMINO-2-OXOETHYL)PHENYL]-5-METHYL-2-(PROPAN-2-YL)CYCLOHEXANECARBOXAMIDE", FLAVORING AGENT OR ADJUVANT
 7646-78-8, STANNIC CHLORIDE,
 977162-55-2," STARCH, ALPHA-AMYLASE MODIFIED",
 977052-18-8," STARCH, FOOD, MODIFIED"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> HUMECTANT,<br /> NUTRIENT SUPPLEMENT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER"
 977186-01-8," STARCH, FOOD, MODIFIED: BETA-AMYLASE MODIFIED STARCH",
 977164-78-5," STARCH, FOOD, MODIFIED: BETA-AMYLASE SODIUM STARCH OCTENYLSUCCINATE",
 977088-75-7," STARCH, FOOD, MODIFIED:  DISTARCH PHOSPHATE (FROM PHOSPHORUS OXYCHLORIDE)", STABILIZER OR THICKENER
 977088-74-6," STARCH, FOOD, MODIFIED:  DISTARCH PHOSPHATE (FROM SODIUM TRIMETAPHOSPHATE)", STABILIZER OR THICKENER
 977186-02-9," STARCH, FOOD, MODIFIED:GLUCOAMYLASE MODIFIED STARCH",
 977186-03-0," STARCH, FOOD, MODIFIED: ISOAMYLASE MODIFIED STARCH",
 65996-62-5," STARCH, FOOD, MODIFIED:  OXIDIZED STARCHES", STABILIZER OR THICKENER
 977186-04-1," STARCH, FOOD, MODIFIED: PULLULANASE MODIFIED STARCH"," ENZYME,<br /> PROCESSING AID"
 9005-25-8," STARCH, UNMODIFIED"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> LUBRICANT OR RELEASE AGENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 112-92-5, STEARYL ALCOHOL," SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 977187-37-3," STEARYL ALCOHOL, PLUS BEESWAX",
 55840-13-6, STEARYL MONOGLYCERIDYL CITRATE, STABILIZER OR THICKENER
 252736-39-3," S-(TETRAHYDRO-2,5-DIMETHYL-3-FURANYL) ETHANETHIOATE", FLAVORING AGENT OR ADJUVANT
 977092-96-8," ST. JOHNSWORT LEAVES, FLOWERS AND CAULIS (HYPERICUM PERFORATUML.)",
 977029-80-3, STORAX EXTRACT (LIQUIDAMBAR SPP.), FLAVORING AGENT OR ADJUVANT
 8046-19-3, STORAX (LIQUIDAMBAR SPP.), FLAVORING AGENT OR ADJUVANT
 8024-01-9, STORAX OIL, FLAVORING AGENT OR ADJUVANT
 68442-37-5," STYRENE-DIVINYLBENZENE-ACRYLONITRILE, SULFONATED TERPOLYMER", PROCESSING AID
 977089-33-0," STYRENE-DIVINYLBENZENE COPOLYMER, CHLOROMETHYLATED, AMINATED, OXIDIZED", PROCESSING AID
 977089-35-2," STYRENE-DIVINYLBENZENE-METHYL ACRYLATE, SULFONATED TERPOLYMER", PROCESSING AID
 68037-26-3," STYRENE, DIVINYLBENZENE, SULFONATED COPOLYMER", PROCESSING AID
 977086-88-6," STYRENE-DVB-ACRYLONITRILE-METHYL ACRYLATE, SULFONATED TETRAPOLYMER",
 108-30-5, SUCCINIC ANHYDRIDE,
 68915-24-2, SUCCINYLATED GELATIN,
 977009-45-2, SUCCINYLATED MONOGLYCERIDES," DOUGH STRENGTHENER,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LEAVENING AGENT"
 27216-62-2, SUCCISTEARIN, EMULSIFIER OR EMULSIFIER SALT
 56038-13-2, SUCRALOSE, NUTRITIVE SWEETENER
 126-13-6, SUCROSE ACETATE ISOBUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 977019-37-6, SUCROSE FATTY ACID ESTERS," EMULSIFIER OR EMULSIFIER SALT,<br /> TEXTURIZER"
 977143-79-5, SUCROSE LIQUID," FLAVORING AGENT OR ADJUVANT,<br /> NUTRITIVE SWEETENER,<br /> SOLVENT OR VEHICLE"
 26446-38-8, SUCROSE MONOPALMITATE, FLAVORING AGENT OR ADJUVANT
 126-14-7, SUCROSE OCTAACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977186-60-9, SUCROSE OLIGOESTERS," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 8016-79-3, SUGAR BEET EXTRACT FLAVOR BASE, FLAVORING AGENT OR ADJUVANT
 977187-63-5, SUGAR BEET JUICE EXTRACT, FLAVORING AGENT OR ADJUVANT
 977187-38-4," SULFITES, STRONG ALKALI",
 977116-60-1, SULFITING AGENTS, ANTIOXIDANT
 37325-18-1, SULFOPROPYL CELLULOSE,
 7782-99-2, SULFUROUS ACID,
 977188-78-5, SWEET BLACKBERRY LEAVES EXTRACT, FLAVOR ENHANCER
 977010-56-2, TAGETES MEAL & EXTRACT, COLOR OR COLORING ADJUNCT
 8016-84-0," TAGETES, OIL (TAGETES SPP.)", FLAVORING AGENT OR ADJUVANT
 8030-11-3," TALLOW ALCOHOL, HYDROGENATED", SURFACE-FINISHING AGENT
 977163-79-3, TALLOW FLAKES,
 8030-12-4," TALLOW, HYDROGENATED"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> MASTICATORY SUBSTANCE,<br /> STABILIZER OR THICKENER"
 977043-64-3," TALLOW, HYDROGENATED, OXIDIZED OR SULFATED",
 84961-62-6, TAMARIND EXTRACT (TAMARINDUS INDICA L.), FLAVORING AGENT OR ADJUVANT
 977052-30-4, TAMARINDS, FLAVORING AGENT OR ADJUVANT
 977029-78-9," TANGERINE, ESSENCE", FLAVORING AGENT OR ADJUVANT
 90063-83-5," TANGERINE, EXTRACT (CITRUS RETICULATA BLANCO)",
 8016-85-1," TANGERINE, OIL (CITRUS RETICULATA BLANCO)", FLAVORING AGENT OR ADJUVANT
 8016-87-3," TANSY, OIL (TANACETUM VULGARA L.)", FLAVORING AGENT OR ADJUVANT
 977032-44-2, TANSY (TANACETUM VULGARA L.),
 977052-32-6, TARRAGON (ARTEMISIA DRACUNCULUS L.), FLAVORING AGENT OR ADJUVANT
 977029-81-4, TARRAGON EXTRACT (ARTEMISIA DRACUNCULUS L.), FLAVORING AGENT OR ADJUVANT
 8016-88-4, TARRAGON OIL (ARTEMISIA DRACUNCULUS L.), FLAVORING AGENT OR ADJUVANT
 107-35-7, TAURINE, FLAVORING AGENT OR ADJUVANT
 84650-60-2, TEA EXTRACT (THEA SINENSIS L.), FLAVORING AGENT OR ADJUVANT
 68647-73-4, TEA TREE OIL (MELALEUCA ALTERNIFOLIA), FLAVORING AGENT OR ADJUVANT
 9003-74-1, TERPENE RESIN, MASTICATORY SUBSTANCE
 977092-25-3," TERPENE RESINS, NATURAL"," HUMECTANT,<br /> MASTICATORY SUBSTANCE,<br /> SOLVENT OR VEHICLE"
 977092-26-4," TERPENE RESINS, SYNTHETIC"," HUMECTANT,<br /> MASTICATORY SUBSTANCE,<br /> SOLVENT OR VEHICLE"
 99-86-5, ALPHA-TERPINENE, FLAVORING AGENT OR ADJUVANT
 99-85-4, GAMMA-TERPINENE, FLAVORING AGENT OR ADJUVANT
 98-55-5, ALPHA-TERPINEOL," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 138-87-4, BETA-TERPINEOL, FLAVORING AGENT OR ADJUVANT
 586-62-9, TERPINOLENE, FLAVORING AGENT OR ADJUVANT
 80-26-2, TERPINYL ACETATE, FLAVORING AGENT OR ADJUVANT
 14481-52-8, ALPHA-TERPINYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 2153-28-8, TERPINYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 10024-56-3, TERPINYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 2153-26-6, TERPINYL FORMATE, FLAVORING AGENT OR ADJUVANT
 7774-65-4, TERPINYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 1142-85-4, TERPINYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 80-27-3, TERPINYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 1948-33-0, TERT-BUTYLHYDROQUINONE, ANTIOXIDANT
 67874-72-0, 2-TERT-PENTYLCYCLOHEXYL ACETATE,
 2721-22-4, DELTA-TETRADECALACTONE, FLAVORING AGENT OR ADJUVANT
 64461-99-0, TETRADEC-2-ENAL, FLAVORING AGENT OR ADJUVANT
 169054-69-7, (Z)-8-TETRADECENAL, FLAVORING AGENT OR ADJUVANT
 15456-70-9, 9-TETRADECEN-5-OLIDE, FLAVORING AGENT OR ADJUVANT
 26658-42-4, TETRAETHYLENEPENTAMINE CROSSLINKED WITH EPICHLOROHYDRIN, PROCESSING AID
 18114-49-3," 1,1'-(TETRAHYDRO-6A-HYDROXY-2,3A,5-TRIMETHYLFURO[2,3-D]-1,3-DIOXOLE-2,5-DIYL)BIS-ETHANONE", FLAVORING AGENT OR ADJUVANT
 56424-87-4," 1,2,5,6-TETRAHYDROCUMINIC ACID", FLAVORING AGENT OR ADJUVANT
 494-90-6," 4,5,6,7-TETRAHYDRO-3,6-DIMETHYLBENZOFURAN", FLAVORING AGENT OR ADJUVANT
 637-64-9, TETRAHYDROFURFURYL ACETATE, FLAVORING AGENT OR ADJUVANT
 97-99-4, TETRAHYDROFURFURYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 2217-33-6, TETRAHYDROFURFURYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 65505-25-1, TETRAHYDROFURFURYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 99253-91-5, 2-TETRAHYDROFURFURYL 2-MERCAPTOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 637-65-0, TETRAHYDROFURFURYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 78-69-3, TETRAHYDROLINALOOL, FLAVORING AGENT OR ADJUVANT
 16409-43-1, TETRAHYDRO-4-METHYL-2-(2-METHYLPROPEN-1-YL)PYRAN, FLAVORING AGENT OR ADJUVANT
 4433-36-7, TETRAHYDRO-PSEUDO-IONONE, FLAVORING AGENT OR ADJUVANT
 34413-35-9," 5,6,7,8-TETRAHYDROQUINOXALINE", FLAVORING AGENT OR ADJUVANT
 97866-86-9," 2,2,6,7-TETRAMETHYLBICYCLO[4.3.0]NONA-4,9(1)-DIEN-8-OL", FLAVORING AGENT OR ADJUVANT
 97844-16-1," 2,2,6,7-TETRAMETHYLBICYCLO[4.3.0]NONA-4,9(1)-DIEN-8-ONE", FLAVORING AGENT OR ADJUVANT
 140-66-9," ALPHA-{P-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL}-OMEGA-HYDROXYPOLY(OXYETHYLENE)",
 2315-67-5," ALPHA-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)(1 MOL)",
 9002-93-1," ALPHA-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)(GREATER THAN 1 MOL)",
 977045-69-4, TETRAMETHYL ETHYLCYCLOHEXENONE (MIXTURE OF ISOMERS), FLAVORING AGENT OR ADJUVANT
 80722-28-7," (+/-)-2,6,10,10-TETRAMETHYL-1-OXASPIRO[4,5]DECA-2,6-DIEN-8-ONE", FLAVORING AGENT OR ADJUVANT
 6790-58-5," 1,5,5,9-TETRAMETHYL-13-OXATRICYCLO(8.3.0.0(4,9))TRIDECANE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1124-11-4," 2,3,5,6-TETRAMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 53850-34-3, THAUMATIN, FLAVORING AGENT OR ADJUVANT
 977178-03-2," THAUMATIN B, RECOMBINANT", FLAVORING AGENT OR ADJUVANT
 36431-72-8, THEASPIRANE, FLAVORING AGENT OR ADJUVANT
 83-67-0, THEOBROMINE, FLAVORING AGENT OR ADJUVANT
 59-43-8, THIAMINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 288-47-1, THIAZOLE, FLAVORING AGENT OR ADJUVANT
 6911-51-9, 2-THIENYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 94089-02-8, 1-(2-THIENYL)ETHANETHIOL, FLAVORING AGENT OR ADJUVANT
 7774-74-5, 2-THIENYL MERCAPTAN, FLAVORING AGENT OR ADJUVANT
 636-72-6, 2-THIENYLMETHANOL, FLAVORING AGENT OR ADJUVANT
 507-09-5, THIOACETIC ACID, FLAVORING AGENT OR ADJUVANT
 13678-67-6," 2,2'-(THIODIMETHYLENE)-DIFURAN", FLAVORING AGENT OR ADJUVANT
 39067-80-6, THIOGERANIOL, FLAVORING AGENT OR ADJUVANT
 62-56-6, THIOUREA--PROHIBITED, ANTIMICROBIAL AGENT
 977023-13-4," THISTLE, BLESSED (CNICUS BENEDICTUS L.)", FLAVORING AGENT OR ADJUVANT
 977048-22-8," THISTLE, BLESSED, EXTRACT (CNICUS BENEDICTUS L.)", FLAVORING AGENT OR ADJUVANT
 977048-24-0," THISTLE, BLESSED, EXTRACT SOLID (CNICUS BENEDICTUS L.)", FLAVORING AGENT OR ADJUVANT
 977048-23-9," THISTLE, BLESSED, OIL (CNICUS BENEDICTUS L.)", FLAVORING AGENT OR ADJUVANT
 72-19-5, L-THREONINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 546-79-2, 4-THUJANOL, FLAVORING AGENT OR ADJUVANT
 21653-20-3, THUJYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 84929-51-1," THYME, EXTRACT",
 8007-46-3, THYME OIL (THYMUS VULGARIS L. AND T. ZYGIS VAR. GRACILIS BOISS.), FLAVORING AGENT OR ADJUVANT
 977029-72-3, THYME OLEORESIN, FLAVORING AGENT OR ADJUVANT
 977052-37-1, THYME (THYMUS SERPYLLUM L.), FLAVORING AGENT OR ADJUVANT
 977052-36-0, THYME (THYMUS VULGARIS L.), FLAVORING AGENT OR ADJUVANT
 84776-98-7," THYME, WILD OR CREEPING, EXTRACT (THYMUS SERPYLLUM L.)", FLAVORING AGENT OR ADJUVANT
 89-83-8, THYMOL, FLAVORING AGENT OR ADJUVANT
 13463-67-7, TITANIUM DIOXIDE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> COLOR OR COLORING ADJUNCT,<br /> DRYING AGENT,<br /> HUMECTANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT,<br /> TRACER"
 977041-69-2," TOLUALDEHYDE GLYCERYL ACETAL (MIXED O-, M-, P-)", FLAVORING AGENT OR ADJUVANT
 1334-78-7," TOLUALDEHYDES (MIXED O-, M-, P-)", FLAVORING AGENT OR ADJUVANT
 977075-28-7," TOLU, BALSAM, EXTRACT (MYROXYLON SPP.)", FLAVORING AGENT OR ADJUVANT
 9000-64-0," TOLU, BALSAM, GUM (MYROXYLON SPP.)", FLAVORING AGENT OR ADJUVANT
 108-88-3, toluene, SOLVENT OR VEHICLE
 137-06-4, O-TOLUENETHIOL, FLAVORING AGENT OR ADJUVANT
 104-09-6, P-TOLYLACETALDEHYDE, FLAVORING AGENT OR ADJUVANT
 533-18-6, O-TOLYL ACETATE, FLAVORING AGENT OR ADJUVANT
 140-39-6, P-TOLYL ACETATE, FLAVORING AGENT OR ADJUVANT
 7774-79-0, 4-(P-TOLYL)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 36438-54-7, O-TOLYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 103-93-5, P-TOLYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 10024-57-4, P-TOLYL LAURATE, FLAVORING AGENT OR ADJUVANT
 55066-56-3, P-TOLYL 3-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 59558-23-5, P-TOLYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 101-94-0, P-TOLYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 99-72-9, 2-(P-TOLYL)-PROPIONALDEHYDE, FLAVORING AGENT OR ADJUVANT
 617-01-6, O-TOLYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 502-65-8, TOMATO LYCOPENE, FLAVORING AGENT OR ADJUVANT
 648434-55-3, (+/-)-TRANS- AND CIS-2-HEXENAL PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 21662-13-5," 2-TRANS,6-CIS-DODECADIENAL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 557-48-2, 2-TRANS-6-CIS-NONADIENAL, FLAVORING AGENT OR ADJUVANT
 614-60-8, O-TRANS-COUMARIC ACID, FLAVORING AGENT OR ADJUVANT
 22104-80-9, TRANS-2-DECENOL, FLAVORING AGENT OR ADJUVANT
 1576-77-8, TRANS-3-HEPTENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 928-97-2, TRANS-3-HEXENOL, FLAVORING AGENT OR ADJUVANT
 2497-18-9, TRANS-2-HEXEN-1-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 3681-82-1, TRANS-3-HEXENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 94089-01-7, TRANS-2-HEXENYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2277-16-9, TRANS-4-NONENAL, FLAVORING AGENT OR ADJUVANT
 10339-61-4, TRANS-3-NONEN-1-OL, FLAVORING AGENT OR ADJUVANT
 27743-70-0, TRANS-2-NONEN-4-ONE, FLAVORING AGENT OR ADJUVANT
 30418-89-4, TRANS-2-NONENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 18776-92-6, TRANS-4-OCTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 51608-18-5, 2-(TRANS-2-PENTENYL)CYCLOPENTANONE, FLAVORING AGENT OR ADJUVANT
 21862-63-5, TRANS-4-TERT-BUTYLCYCLOHEXANOL, FLAVORING AGENT OR ADJUVANT
 21662-16-8," TRANS,TRANS-2,4-DODECADIENAL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 56700-78-8, TRANS-2-TRANS-4-NONADIENE, FLAVORING AGENT OR ADJUVANT
 74962-98-4, TRANS-2-TRIDECENOL, FLAVORING AGENT OR ADJUVANT
 977179-65-9," TREFOIL, SWEET (MELILOTUS COERULEA)", FLAVORING AGENT OR ADJUVANT
 6138-23-4," TREHALOSE, DIHYDRATE", FLAVORING AGENT OR ADJUVANT
 102-76-1, TRIACETIN (GLYCEROL TRIACETATE)," FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> MASTICATORY SUBSTANCE,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE,<br /> SURFACE-FINISHING AGENT"
 77-90-7, TRIBUTYL ACETYLCITRATE, FLAVORING AGENT OR ADJUVANT
 79-01-6, TRICHLOROETHYLENE, SOLVENT OR VEHICLE
 10486-19-8, TRIDECANAL, FLAVORING AGENT OR ADJUVANT
 638-53-9, TRIDECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 593-08-8, 2-TRIDECANONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 13552-96-0," 2-TRANS,4-CIS,7-CIS-TRIDECATRIENAL", FLAVORING AGENT OR ADJUVANT
 7774-82-5, 2-TRIDECENAL, FLAVORING AGENT OR ADJUVANT
 102-87-4, TRIDODECYL AMINE, SOLVENT OR VEHICLE
 102-71-6, TRIETHANOLAMINE, MALTING OR FERMENTING AID
 121-44-8, TRIETHYLAMINE, FLAVORING AGENT OR ADJUVANT
 27754-94-5, TRIETHYLENETETRAMINE CROSS-LINKED WITH EPICHLOROHYDRIN, PROCESSING AID
 1493-13-6, TRIFLUOROMETHANE SULFONIC ACID,
 1421-63-2," 2,4,5-TRIHYDROXYBUTYROPHENONE", ANTIOXIDANT
 60-82-2, (TRIHYDROXY-PHENYL)-PROPAN-1-ONE, FLAVORING AGENT OR ADJUVANT
 4192-90-9, TRILOBATIN, FLAVORING AGENT OR ADJUVANT
 75-50-3, TRIMETHYLAMINE, FLAVORING AGENT OR ADJUVANT
 1184-78-7, TRIMETHYLAMINE OXIDE, FLAVORING AGENT OR ADJUVANT
 977045-71-8," 2,6,6-TRIMETHYL-1 AND 2-CYCLOHEXEN-1-CARBOXALDEHYDE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1197-01-9," P,ALPHA,ALPHA-TRIMETHYLBENZYL ALCOHOL", FLAVORING AGENT OR ADJUVANT
 23696-85-7," 4-(2,6,6-TRIMETHYLCYCLOHEXA-1,3-DIENYL)BUT-2-EN-4-ONE", FLAVORING AGENT OR ADJUVANT
 116-26-7," 2,6,6-TRIMETHYLCYCLOHEXA-1,3-DIENYL METHANAL", FLAVORING AGENT OR ADJUVANT
 116-02-9," 3,3,5-TRIMETHYLCYCLOHEXANOL", FLAVORING AGENT OR ADJUVANT
 2408-37-9," 2,2,6-TRIMETHYLCYCLOHEXANONE", FLAVORING AGENT OR ADJUVANT
 472-66-2," 2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-ACETALDEHYDE", FLAVORING AGENT OR ADJUVANT
 1125-21-9," 2,6,6-TRIMETHYLCYCLOHEX-2-ENE-1,4-DIONE", FLAVORING AGENT OR ADJUVANT
 35044-68-9," 4-(2,6,6-TRIMETHYLCYCLOHEX-1-ENYL)BUT-2-EN-4-ONE", FLAVORING AGENT OR ADJUVANT
 67859-96-5," 3,3,5-TRIMETHYLCYCLOHEXYL ACETATE", FLAVORING AGENT OR ADJUVANT
 4501-58-0," 2,2,3-TRIMETHYLCYCLOPENT-3-EN-1-YL ACETALDEHYDE", FLAVORING AGENT OR ADJUVANT
 957136-80-0," 4-(2,2,3-TRIMETHYLCYCLOPENTYL)BUTANOIC ACID", FLAVORING AGENT OR ADJUVANT
 29548-30-9," 3,7,11-TRIMETHYLDODECA-2,6,10-TRIENYL ACETATE", FLAVORING AGENT OR ADJUVANT
 5435-64-3," 3,5,5-TRIMETHYLHEXANAL", FLAVORING AGENT OR ADJUVANT
 3452-97-9," 3,5,5-TRIMETHYL-1-HEXANOL", FLAVORING AGENT OR ADJUVANT
 7500-42-7," 2,6,6-TRIMETHYL-2-HYDROXYCYCLOHEXANONE", FLAVORING AGENT OR ADJUVANT
 15356-74-8," (2,6,6-TRIMETHYL-2-HYDROXYCYCLOHEXYLIDENE)ACETIC ACID GAMMA-LACTONE", FLAVORING AGENT OR ADJUVANT
 54440-17-4," 2,3,3-TRIMETHYLINDANONE", FLAVORING AGENT OR ADJUVANT
 479547-57-4," TRANS- AND CIS-2,4,8-TRIMETHYL-3,7-NONA-DIEN-2-OL", FLAVORING AGENT OR ADJUVANT
 437770-28-0," (+/-)-2,4,8-TRIMETHYL-7-NONEN-2-OL", FLAVORING AGENT OR ADJUVANT
 13851-11-1," 1,3,3-TRIMETHYL-2-NORBORNANYL ACETATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1193-11-9," 2,2,4-TRIMETHYL-1,3-OXACYCLOPENTANE", FLAVORING AGENT OR ADJUVANT
 20662-84-4, TRIMETHYLOXAZOLE, FLAVORING AGENT OR ADJUVANT
 22694-96-8," 2,4,5-TRIMETHYL-DELTA-3-OXAZOLINE", FLAVORING AGENT OR ADJUVANT
 762-29-8," 2,6,10-TRIMETHYL-2,6,10-PENTADECATRIEN-14-ONE", FLAVORING AGENT OR ADJUVANT
 3054-92-0," 2,3,4-TRIMETHYL-3-PENTANOL", FLAVORING AGENT OR ADJUVANT
 2416-94-6," 2,3,6-TRIMETHYLPHENOL", FLAVORING AGENT OR ADJUVANT
 527-60-6," 2,4,6-TRIMETHYLPHENOL", FLAVORING AGENT OR ADJUVANT
 14667-55-1," 2,3,5-TRIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 13623-11-5," 2,4,5-TRIMETHYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
 7392-19-0," 2,2,6-TRIMETHYL-6-VINYLTETRAHYDROPYRAN", FLAVORING AGENT OR ADJUVANT
 102-69-2, TRIPROPYLAMINE, FLAVORING AGENT OR ADJUVANT
 67715-82-6," 1,2,3-TRIS((1'-ETHOXY)ETHOXY)-PROPANE", FLAVORING AGENT OR ADJUVANT
 5064-31-3, TRISODIUM NITRILOTRIACETATE, BOILER WATER ADDITIVE
 6540-86-9," 2,4,6-TRITHIAHEPTANE", FLAVORING AGENT OR ADJUVANT
 828-26-2, TRITHIOACETONE, FLAVORING AGENT OR ADJUVANT
 9002-07-7, TRYPSIN FROM ANIMAL TISSUE, ENZYME
 73-22-3, L-TRYPTOPHAN, NUTRIENT SUPPLEMENT
 153175-57-6, TUBEROSE LACTONE, FLAVORING AGENT OR ADJUVANT
 8024-05-3," TUBEROSE, OIL (POLIANTHES TUBEROSA L.)", FLAVORING AGENT OR ADJUVANT
 977011-54-3, TUNU (CASTILLA FALLAX COOK), MASTICATORY SUBSTANCE
 977052-44-0, TURMERIC (CURCUMA LONGA L.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
